player,seed,score,steps,deliveries,battery,execution_time
DefaultPlayer,1,-440,262,6,-172,3.21
EnchacedPlayer,1,12,378,6,16,4.65
DijkstraPlayer,1,125,284,5,70,3.67
astarPlayer,1,125,284,5,70,3.65
HybridPlayer,1,125,284,5,70,3.6
HybridClusterPlayer,1,71,330,5,70,4.5
DefaultPlayer,2,-75,189,6,-99,2.32
EnchacedPlayer,2,169,281,6,16,3.44
DijkstraPlayer,2,146,280,6,41,3.71
astarPlayer,2,146,280,6,41,3.57
HybridPlayer,2,146,280,6,41,3.53
HybridClusterPlayer,2,177,277,6,36,3.77
DefaultPlayer,3,-15,177,6,-87,2.19
EnchacedPlayer,3,267,203,6,29,2.5
DijkstraPlayer,3,323,187,6,29,2.52
astarPlayer,3,323,187,6,29,2.59
HybridPlayer,3,323,187,6,29,2.42
HybridClusterPlayer,3,329,181,6,29,2.58
DefaultPlayer,4,-220,218,6,-128,2.68
EnchacedPlayer,4,187,275,6,27,3.36
DijkstraPlayer,4,231,263,6,27,3.46
astarPlayer,4,231,263,6,27,3.5
HybridPlayer,4,231,263,6,27,3.32
HybridClusterPlayer,4,203,275,6,27,3.76
DefaultPlayer,5,125,149,6,-59,1.84
EnchacedPlayer,5,160,298,6,15,3.67
DijkstraPlayer,5,193,305,6,30,4.01
astarPlayer,5,193,305,6,30,4.04
HybridPlayer,5,193,305,6,30,3.89
HybridClusterPlayer,5,193,305,6,30,4.11
DefaultPlayer,12,-20,178,6,-88,2.18
EnchacedPlayer,12,256,218,6,19,2.67
DijkstraPlayer,12,216,266,6,37,3.53
astarPlayer,12,206,260,6,37,3.67
HybridPlayer,12,216,266,6,37,3.36
HybridClusterPlayer,12,284,206,6,27,2.9
DefaultPlayer,23,55,163,6,-73,1.98
EnchacedPlayer,23,250,256,6,39,3.12
DijkstraPlayer,23,267,235,6,44,3.08
astarPlayer,23,267,235,6,44,3.12
HybridPlayer,23,267,235,6,44,2.97
HybridClusterPlayer,23,280,210,6,25,2.84
DefaultPlayer,34,-276,230,6,-139,2.84
EnchacedPlayer,34,111,335,6,24,4.13
DijkstraPlayer,34,84,277,5,70,3.68
astarPlayer,34,84,277,5,70,3.59
HybridPlayer,34,84,277,5,70,3.55
HybridClusterPlayer,34,80,281,5,70,3.86
DefaultPlayer,45,15,171,6,-81,2.12
EnchacedPlayer,45,102,344,6,28,4.26
DijkstraPlayer,45,89,333,6,27,4.42
astarPlayer,45,89,333,6,27,4.27
HybridPlayer,45,89,333,6,27,4.24
HybridClusterPlayer,45,77,345,6,27,4.66
DefaultPlayer,56,-130,200,6,-110,2.48
EnchacedPlayer,56,102,308,6,15,3.81
DijkstraPlayer,56,62,291,5,70,3.84
astarPlayer,56,62,291,5,70,3.98
HybridPlayer,56,62,291,5,70,3.71
HybridClusterPlayer,56,76,293,5,70,4.07
DefaultPlayer,123,-5,175,6,-85,2.15
EnchacedPlayer,123,306,188,6,42,2.31
DijkstraPlayer,123,269,156,5,70,2.17
astarPlayer,123,269,156,5,70,2.34
HybridPlayer,123,269,156,5,70,2.01
HybridClusterPlayer,123,257,160,5,70,2.33
DefaultPlayer,234,-150,204,6,-114,2.5
EnchacedPlayer,234,50,256,6,25,3.09
DijkstraPlayer,234,102,300,6,27,3.91
astarPlayer,234,102,300,6,27,3.96
HybridPlayer,234,102,300,6,27,3.79
HybridClusterPlayer,234,102,300,6,27,4.11
DefaultPlayer,345,-110,196,6,-106,2.4
EnchacedPlayer,345,146,340,6,28,4.19
DijkstraPlayer,345,88,358,6,28,4.59
astarPlayer,345,78,360,6,28,4.63
HybridPlayer,345,88,358,6,28,4.56
HybridClusterPlayer,345,86,352,6,28,4.7
DefaultPlayer,456,-265,227,6,-137,2.8
EnchacedPlayer,456,39,383,6,41,4.7
DijkstraPlayer,456,165,313,6,29,4.14
astarPlayer,456,165,313,6,29,4.34
HybridPlayer,456,165,313,6,29,3.97
HybridClusterPlayer,456,153,325,6,29,4.42
DefaultPlayer,567,34,212,6,-66,2.61
EnchacedPlayer,567,243,243,6,45,2.98
DijkstraPlayer,567,278,232,6,32,3.11
astarPlayer,567,278,232,6,32,3.36
HybridPlayer,567,278,232,6,32,2.97
HybridClusterPlayer,567,278,232,6,32,3.23
DefaultPlayer,1234,205,133,6,-43,1.62
EnchacedPlayer,1234,334,176,6,43,2.15
DijkstraPlayer,1234,292,190,6,47,2.51
astarPlayer,1234,292,190,6,47,2.65
HybridPlayer,1234,292,190,6,47,2.42
HybridClusterPlayer,1234,292,190,6,47,2.59
DefaultPlayer,2345,-200,214,6,-124,2.66
EnchacedPlayer,2345,225,257,6,34,3.15
DijkstraPlayer,2345,187,295,6,34,3.87
astarPlayer,2345,321,189,6,34,2.57
HybridPlayer,2345,187,295,6,34,3.72
HybridClusterPlayer,2345,276,206,6,31,2.88
DefaultPlayer,3456,-90,192,6,-102,2.38
EnchacedPlayer,3456,158,328,6,36,4.02
DijkstraPlayer,3456,178,268,6,38,3.54
astarPlayer,3456,178,268,6,38,3.77
HybridPlayer,3456,178,268,6,38,3.4
HybridClusterPlayer,3456,234,252,6,42,3.45
DefaultPlayer,4567,-60,186,6,-96,2.3
EnchacedPlayer,4567,102,280,6,36,3.46
DijkstraPlayer,4567,259,251,6,27,3.39
astarPlayer,4567,259,251,6,27,3.46
HybridPlayer,4567,259,251,6,27,3.23
HybridClusterPlayer,4567,259,251,6,27,3.54
DefaultPlayer,5678,-35,237,6,-15,2.91
EnchacedPlayer,5678,25,349,6,21,4.28
DijkstraPlayer,5678,155,230,5,70,3.12
astarPlayer,5678,197,212,5,70,3.11
HybridPlayer,5678,155,230,5,70,2.96
HybridClusterPlayer,5678,143,266,5,70,3.78
DefaultPlayer,12345,-75,189,6,-99,2.31
EnchacedPlayer,12345,297,189,6,39,2.32
DijkstraPlayer,12345,377,133,6,21,1.81
astarPlayer,12345,367,135,6,27,2.06
HybridPlayer,12345,377,133,6,21,1.69
HybridClusterPlayer,12345,363,147,6,13,2.1
DefaultPlayer,23456,-165,207,6,-117,2.57
EnchacedPlayer,23456,92,366,6,13,4.53
DijkstraPlayer,23456,265,245,6,32,3.26
astarPlayer,23456,62,400,6,31,5.19
HybridPlayer,23456,265,245,6,32,3.2
HybridClusterPlayer,23456,62,400,6,31,5.27
DefaultPlayer,34567,-300,234,6,-144,2.91
EnchacedPlayer,34567,302,200,6,25,2.45
DijkstraPlayer,34567,252,173,5,70,2.39
astarPlayer,34567,252,173,5,70,2.46
HybridPlayer,34567,252,173,5,70,2.23
HybridClusterPlayer,34567,252,173,5,70,2.58
DefaultPlayer,45678,-45,183,6,-93,2.24
EnchacedPlayer,45678,63,303,6,33,3.73
DijkstraPlayer,45678,210,244,6,36,3.24
astarPlayer,45678,210,244,6,36,3.33
HybridPlayer,45678,210,244,6,36,3.12
HybridClusterPlayer,45678,200,246,6,36,3.36
DefaultPlayer,56789,45,165,6,-75,2.05
EnchacedPlayer,56789,219,263,6,34,3.26
DijkstraPlayer,56789,237,253,6,34,3.43
astarPlayer,56789,237,253,6,34,3.33
HybridPlayer,56789,237,253,6,34,3.24
HybridClusterPlayer,56789,275,235,6,34,3.33
